"CharName","Cutpoint","CntRec","CntGood","CntBad","CntCumRec","CntCumGood","CntCumBad","PctRec","GoodRate","BadRate","Odds","LnOdds","WoE","IV","CharBinNum","IV_Char"
"res_income","<= -99999","36960","3611","33349","36960","3611","33349","0.476","0.0977","0.9023","0.1083","-2.223","0.0994","0.0049","1","0.029"
"res_income","<= 0","5971","507","5464","42931","4118","38813","0.0769","0.0849","0.9151","0.0928","-2.3774","-0.055","0.0002","2","0.029"
"res_income","<= 355378.6004","6949","504","6445","49880","4622","45258","0.0895","0.0725","0.9275","0.0782","-2.5485","-0.2261","0.0042","3","0.029"
"res_income","<= 555279.0631","7575","493","7082","57455","5115","52340","0.0976","0.0651","0.9349","0.0696","-2.6648","-0.3424","0.0099","4","0.029"
"res_income","<= 823663.9436","6305","466","5839","63760","5581","58179","0.0812","0.0739","0.9261","0.0798","-2.5281","-0.2057","0.0032","5","0.029"
"res_income","<= 1388197.6578","7100","592","6508","70860","6173","64687","0.0914","0.0834","0.9166","0.091","-2.3973","-0.0749","0.0005","6","0.029"
"res_income","<= 925465105.141","6780","759","6021","77640","6932","70708","0.0873","0.1119","0.8881","0.1261","-2.071","0.2514","0.0061","7","0.029"
"res_income","> 925465105.141","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","8","0.029"
"res_income","Missing","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","9","0.029"
"res_income","Total","77640","6932","70708",NA,NA,NA,"1","0.0893","0.9107","0.098","-2.3224","0","0.029","10","0.029"
"res_experience_in_years","<= -99999","23892","2460","21432","23892","2460","21432","0.3077","0.103","0.897","0.1148","-2.1647","0.1577","0.0082","1","0.021"
"res_experience_in_years","<= 0","0","0","0","23892","2460","21432","0","NaN","NaN","NaN","NaN","NaN","NaN","2","0.021"
"res_experience_in_years","<= 8","19927","1627","18300","43819","4087","39732","0.2567","0.0816","0.9184","0.0889","-2.4202","-0.0978","0.0024","3","0.021"
"res_experience_in_years","<= 9","4187","327","3860","48006","4414","43592","0.0539","0.0781","0.9219","0.0847","-2.4685","-0.1461","0.0011","4","0.021"
"res_experience_in_years","<= 11","8510","608","7902","56516","5022","51494","0.1096","0.0714","0.9286","0.0769","-2.5647","-0.2423","0.0058","5","0.021"
"res_experience_in_years","<= 16","11245","919","10326","67761","5941","61820","0.1448","0.0817","0.9183","0.089","-2.4191","-0.0967","0.0013","6","0.021"
"res_experience_in_years","<= 9710","9879","991","8888","77640","6932","70708","0.1272","0.1003","0.8997","0.1115","-2.1937","0.1287","0.0022","7","0.021"
"res_experience_in_years","> 9710","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","8","0.021"
"res_experience_in_years","Missing","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","9","0.021"
"res_experience_in_years","Total","77640","6932","70708",NA,NA,NA,"1","0.0893","0.9107","0.098","-2.3224","0","0.021","10","0.021"
"res_salary_per_year_of_exp","<= -99999","36997","3618","33379","36997","3618","33379","0.4765","0.0978","0.9022","0.1084","-2.222","0.1004","0.005","1","0.0205"
"res_salary_per_year_of_exp","<= 0","5971","507","5464","42968","4125","38843","0.0769","0.0849","0.9151","0.0928","-2.3774","-0.055","0.0002","2","0.0205"
"res_salary_per_year_of_exp","<= 29873.7548","6935","494","6441","49903","4619","45284","0.0893","0.0712","0.9288","0.0767","-2.5679","-0.2455","0.0049","3","0.0205"
"res_salary_per_year_of_exp","<= 46273.2553","7427","515","6912","57330","5134","52196","0.0957","0.0693","0.9307","0.0745","-2.5968","-0.2744","0.0064","4","0.0205"
"res_salary_per_year_of_exp","<= 64782.5574","6450","501","5949","63780","5635","58145","0.0831","0.0777","0.9223","0.0842","-2.4744","-0.152","0.0018","5","0.0205"
"res_salary_per_year_of_exp","<= 100959.8297","6979","595","6384","70759","6230","64529","0.0899","0.0853","0.9147","0.0932","-2.373","-0.0506","0.0002","6","0.0205"
"res_salary_per_year_of_exp","<= 115683138.1427","6881","702","6179","77640","6932","70708","0.0886","0.102","0.898","0.1136","-2.175","0.1474","0.002","7","0.0205"
"res_salary_per_year_of_exp","> 115683138.1427","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","8","0.0205"
"res_salary_per_year_of_exp","Missing","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","9","0.0205"
"res_salary_per_year_of_exp","Total","77640","6932","70708",NA,NA,NA,"1","0.0893","0.9107","0.098","-2.3224","0","0.0205","10","0.0205"
"res_metro_flag","= '-99999'","23799","2447","21352","23799","2447","21352","0.3065","0.1028","0.8972","0.1146","-2.1663","0.1561","0.008","1","0.0201"
"res_metro_flag","= '0'","24386","1807","22579","48185","4254","43931","0.3141","0.0741","0.9259","0.08","-2.5254","-0.2029","0.0119","2","0.0201"
"res_metro_flag","= '1'","29455","2678","26777","77640","6932","70708","0.3794","0.0909","0.9091","0.1","-2.3025","0.0199","0.0002","3","0.0201"
"res_metro_flag","Missing","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","4","0.0201"
"res_metro_flag","Total","77640","6932","70708",NA,NA,NA,"1","0.0893","0.9107","0.098","-2.3224","0","0.0201","5","0.0201"
"res_level_senior_manager_flag","= '-99999'","23799","2447","21352","23799","2447","21352","0.3065","0.1028","0.8972","0.1146","-2.1663","0.1561","0.008","1","0.0175"
"res_level_senior_manager_flag","= '0'","48853","3955","44898","72652","6402","66250","0.6292","0.081","0.919","0.0881","-2.4294","-0.107","0.0069","2","0.0175"
"res_level_senior_manager_flag","= '1'","4988","530","4458","77640","6932","70708","0.0642","0.1063","0.8937","0.1189","-2.1296","0.1928","0.0026","3","0.0175"
"res_level_senior_manager_flag","Missing","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","4","0.0175"
"res_level_senior_manager_flag","Total","77640","6932","70708",NA,NA,NA,"1","0.0893","0.9107","0.098","-2.3224","0","0.0175","5","0.0175"
"res_level_junior_exec_flag","= '-99999'","23799","2447","21352","23799","2447","21352","0.3065","0.1028","0.8972","0.1146","-2.1663","0.1561","0.008","1","0.0166"
"res_level_junior_exec_flag","= '0'","42659","3689","38970","66458","6136","60322","0.5494","0.0865","0.9135","0.0947","-2.3574","-0.035","0.0007","2","0.0166"
"res_level_junior_exec_flag","= '1'","11182","796","10386","77640","6932","70708","0.144","0.0712","0.9288","0.0766","-2.5686","-0.2462","0.0079","3","0.0166"
"res_level_junior_exec_flag","Missing","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","4","0.0166"
